"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"1","100 LEGACY ACADEMY CHARTER SCHOOL","New Jersey",NA,1,3400743,"ESSEX COUNTY",NA,NA,NA
"2","21ST CENTURY CHARTER SCH OF GARY","Indiana",4151000,1,1800046,"MARION COUNTY",12.12,32.92,399
"3","21ST CENTURY CYBER CS","Pennsylvania",8357000,1,4200091,"CHESTER COUNTY",34.7,21.5,746
"4","21ST CENTURY PREPARATORY SCHOOL AGENCY","Wisconsin",NA,1,5500045,"RACINE COUNTY",28.5,16.56,472
"5","21ST CENTURY SCHOOL","Ohio",NA,1,3901379,"RICHLAND COUNTY",NA,NA,NA
"6","4-WINDS ACADEMY  INCORPORATED DBA 4-WINDS ACADEMY","Arizona",NA,1,400380,"APACHE COUNTY",NA,NA,NA
"7","A CENTER FOR CREATIVE EDUCATION","Arizona",551000,2,400328,"YAVAPAI COUNTY",NA,NA,87
"8","A CHILD'S VIEW SCHOOL  INC.","Arizona",342000,1,400431,"PIMA COUNTY",2,27,54
"9","A E R O  SPEC EDUC COOP","Illinois",32692000,2,1700024,"COOK COUNTY",71.9,NA,NA
"10","A W BEATTIE CAREER CENTER","Pennsylvania",5754000,1,4280010,"ALLEGHENY COUNTY",31,0,0
"11","A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY","Texas",13557000,2,4800095,"DALLAS COUNTY",69.01,22.75,1570
"12","A+ ACADEMY","Texas",9631000,1,4800203,"DALLAS COUNTY",65.75,14.46,951
"13","A+ ARTS ACADEMY","Ohio",2660000,1,3900305,"FRANKLIN COUNTY",20.75,13.98,290
"14","A-C CENTRAL CUSD 262","Illinois",5997000,3,1700105,"CASS COUNTY",35.88,13.88,498
"15","A-H-S-T COMM SCHOOL DISTRICT","Iowa",7536000,2,1904080,"POTTAWATTAMIE COUNTY",38.78,16.22,629
"16","A. LINWOOD HOLTON GOV SCH","Virginia",NA,1,5100033,"WASHINGTON COUNTY",0,NA,NA
"17","A.B. GRAHAM ACADEMY","Ohio",1355000,1,3901358,"CHAMPAIGN COUNTY",0,NA,187
"18","A.C.G.C. PUBLIC SCHOOL DISTRICT","Minnesota",10293000,4,2700106,"MEEKER COUNTY",60.81,13.07,795
"19","A.E. PHILLIPS LABORATORY SCHOOL","Louisiana",NA,1,2200056,"LINCOLN PARISH",0,NA,339
"20","ABBEVILLE 60","South Carolina",33551000,9,4500690,"ABBEVILLE COUNTY",222.1,14.16,3146
"21","ABBOTSFORD SCHOOL DISTRICT","Wisconsin",8788000,2,5500030,"CLARK COUNTY",50.16,14.11,708
"22","ABBOTT ISD","Texas",3283000,2,4807380,"HILL COUNTY",22.98,12.88,296
"23","ABBOTT UNION FREE SCHOOL DISTRICT","New York",NA,1,3602300,"WESTCHESTER COUNTY",0,NA,NA
